state,city,locality,property_type,bhk,area_sqft,bathrooms,floor,total_floors,age_years,furnished,parking,balcony,price_inr
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Apartment,3,890,3,15,15,17,Semi-Furnished,0,3,8416820
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Independent House,1,1370,2,14,14,19,Semi-Furnished,0,2,14086698
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Independent House,5,1070,4,7,15,20,Semi-Furnished,0,3,11881610
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Apartment,3,2050,2,10,10,0,Semi-Furnished,2,2,23156078
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Apartment,3,2230,3,9,9,14,Semi-Furnished,1,1,27396394
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Apartment,2,1630,3,13,13,25,Unfurnished,2,1,17992274
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Independent House,1,2020,2,6,17,13,Semi-Furnished,0,0,19867838
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Apartment,1,780,2,14,14,20,Unfurnished,2,0,8192134
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Apartment,3,1730,3,9,9,4,Semi-Furnished,2,0,16866111
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Independent House,2,3090,3,12,20,9,Unfurnished,0,3,36707516
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Apartment,4,1740,3,2,10,19,Furnished,2,0,20803397
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Independent House,5,2080,4,7,15,14,Semi-Furnished,1,1,25105914
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Apartment,1,2090,1,12,12,2,Semi-Furnished,0,1,24784767
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Apartment,4,930,3,4,19,17,Unfurnished,2,2,8892124
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Villa,4,2110,3,7,16,7,Semi-Furnished,0,0,32965581
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Apartment,4,1850,5,12,12,11,Semi-Furnished,2,1,20607604
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Independent House,5,1710,4,8,8,7,Furnished,0,2,16879380
Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Independent House,4,2330,3,15,16,3,Semi-Furnished,0,0,26467842
Andhra Pradesh,Vijayawada,Vijayawada Central,Apartment,5,1160,4,4,17,6,Semi-Furnished,1,3,13346337
Andhra Pradesh,Vijayawada,Vijayawada Central,Apartment,2,3070,1,15,19,16,Unfurnished,0,0,32226861
Andhra Pradesh,Vijayawada,Vijayawada Central,Independent House,2,1700,3,13,18,25,Semi-Furnished,0,3,18811409
Andhra Pradesh,Vijayawada,Vijayawada Central,Independent House,3,1380,4,14,14,0,Semi-Furnished,2,2,17309969
Andhra Pradesh,Vijayawada,Vijayawada Central,Apartment,1,3030,1,14,14,24,Furnished,2,0,36659370
Andhra Pradesh,Vijayawada,Vijayawada Central,Apartment,4,2860,3,5,20,1,Semi-Furnished,1,2,35549558
Andhra Pradesh,Vijayawada,Vijayawada Central,Apartment,5,580,4,15,15,4,Semi-Furnished,0,2,6773700
Andhra Pradesh,Vijayawada,Vijayawada Central,Independent House,4,2090,3,1,15,10,Semi-Furnished,2,0,24161410
Andhra Pradesh,Vijayawada,Vijayawada Central,Independent House,5,1340,5,8,8,3,Furnished,2,3,17002357
Andhra Pradesh,Vijayawada,Vijayawada Central,Apartment,3,2020,3,11,11,3,Unfurnished,0,3,30042350
Andhra Pradesh,Vijayawada,Vijayawada Central,Apartment,1,3020,2,13,13,19,Semi-Furnished,1,0,28986899
Andhra Pradesh,Vijayawada,Vijayawada Central,Apartment,2,2660,1,14,18,12,Semi-Furnished,2,2,28107437
Andhra Pradesh,Vijayawada,Vijayawada Central,Independent House,1,1540,1,4,10,24,Furnished,1,0,13403112
Andhra Pradesh,Vijayawada,Vijayawada Central,Apartment,5,2520,5,7,12,21,Unfurnished,1,0,37208619
Andhra Pradesh,Vijayawada,Vijayawada Central,Villa,2,1370,1,2,6,24,Unfurnished,1,0,13091082
Andhra Pradesh,Vijayawada,Vijayawada Central,Apartment,3,600,2,6,12,18,Unfurnished,1,2,7006437
Andhra Pradesh,Vijayawada,Vijayawada Central,Independent House,5,1390,5,8,8,25,Furnished,1,0,22403004
Andhra Pradesh,Vijayawada,Vijayawada Central,Apartment,2,1210,2,0,8,16,Unfurnished,2,2,11641860
Andhra Pradesh,Guntur,Guntur Central,Villa,1,2750,1,13,17,2,Unfurnished,2,3,31700324
Andhra Pradesh,Guntur,Guntur Central,Independent House,2,2670,3,11,11,15,Semi-Furnished,2,2,33889717
Andhra Pradesh,Guntur,Guntur Central,Apartment,5,2820,5,3,6,21,Semi-Furnished,0,0,30143812
Andhra Pradesh,Guntur,Guntur Central,Apartment,1,1650,1,11,11,15,Semi-Furnished,1,1,17319334
Andhra Pradesh,Guntur,Guntur Central,Villa,2,1330,3,12,12,20,Semi-Furnished,1,2,20811144
Andhra Pradesh,Guntur,Guntur Central,Apartment,3,2280,4,1,6,5,Semi-Furnished,0,2,26162722
Andhra Pradesh,Guntur,Guntur Central,Apartment,3,2390,4,10,10,13,Semi-Furnished,1,2,33806533
Andhra Pradesh,Guntur,Guntur Central,Villa,3,3030,2,6,12,18,Furnished,1,3,37417554
Andhra Pradesh,Guntur,Guntur Central,Apartment,5,3050,4,8,13,2,Unfurnished,0,0,50007507
Andhra Pradesh,Guntur,Guntur Central,Apartment,1,2060,1,14,16,12,Semi-Furnished,1,1,18831458
Andhra Pradesh,Guntur,Guntur Central,Apartment,1,3010,1,7,14,21,Unfurnished,2,1,32929168
Andhra Pradesh,Guntur,Guntur Central,Independent House,2,2320,2,10,10,18,Semi-Furnished,2,1,28098231
Andhra Pradesh,Guntur,Guntur Central,Villa,2,960,1,11,11,24,Semi-Furnished,0,2,11156196
Andhra Pradesh,Guntur,Guntur Central,Apartment,5,3030,5,10,20,9,Semi-Furnished,0,2,46987375
Andhra Pradesh,Guntur,Guntur Central,Independent House,3,860,4,7,12,7,Unfurnished,0,2,11563930
Andhra Pradesh,Guntur,Guntur Central,Apartment,1,1750,2,5,9,18,Semi-Furnished,0,1,22096967
Andhra Pradesh,Guntur,Guntur Central,Villa,4,2620,3,10,10,14,Furnished,2,3,40081009
Andhra Pradesh,Guntur,Guntur Central,Independent House,4,3190,4,10,18,0,Unfurnished,2,0,40999106
Andhra Pradesh,Tirupati,Tirupati Central,Apartment,3,920,4,4,14,22,Furnished,2,0,12342395
Andhra Pradesh,Tirupati,Tirupati Central,Independent House,1,680,1,4,17,21,Unfurnished,0,0,9451625
Andhra Pradesh,Tirupati,Tirupati Central,Independent House,5,3000,5,7,7,3,Furnished,1,0,53573794
Andhra Pradesh,Tirupati,Tirupati Central,Apartment,3,2220,4,0,4,2,Semi-Furnished,0,1,35312544
Andhra Pradesh,Tirupati,Tirupati Central,Apartment,3,3140,3,0,1,19,Semi-Furnished,0,3,33670903
Andhra Pradesh,Tirupati,Tirupati Central,Apartment,3,1000,2,9,10,9,Furnished,1,3,13870279
Andhra Pradesh,Tirupati,Tirupati Central,Villa,5,2060,4,6,12,11,Semi-Furnished,1,2,31060589
Andhra Pradesh,Tirupati,Tirupati Central,Apartment,3,3040,2,14,14,4,Semi-Furnished,0,0,44194363
Andhra Pradesh,Tirupati,Tirupati Central,Apartment,5,1280,4,6,13,2,Semi-Furnished,2,1,17749451
Andhra Pradesh,Tirupati,Tirupati Central,Apartment,5,1120,5,4,9,24,Unfurnished,1,1,18290801
Andhra Pradesh,Tirupati,Tirupati Central,Independent House,1,2060,1,9,14,9,Semi-Furnished,1,1,26267941
Andhra Pradesh,Tirupati,Tirupati Central,Independent House,2,2000,2,15,15,5,Semi-Furnished,2,2,28150972
